Date,Open,High,Low,Close,Volume
2/1/2018,167.169998,168.619995,166.759995,167.779999,47230800
2/2/2018,166,166.800003,160.100006,160.5,86593800
2/5/2018,159.100006,163.880005,156,156.490005,72738500
2/6/2018,154.830002,163.720001,154,163.029999,68243800
2/7/2018,163.089996,163.399994,159.070007,159.539993,51608600
2/8/2018,160.289993,161,155.029999,155.149994,54390500
2/9/2018,157.070007,157.889999,150.240005,156.410004,70672600
2/12/2018,158.5,163.889999,157.509995,162.710007,60819500
2/13/2018,161.949997,164.75,161.649994,164.339996,32549200
2/14/2018,163.039993,167.539993,162.880005,167.369995,40644900
2/15/2018,169.789993,173.089996,169,172.990005,51147200
2/16/2018,172.360001,174.820007,171.770004,172.429993,40176100
2/20/2018,172.050003,174.259995,171.419998,171.850006,33930500
2/21/2018,172.830002,174.119995,171.009995,171.070007,37471600
2/22/2018,171.800003,173.949997,171.710007,172.5,30991900
2/23/2018,173.669998,175.649994,173.539993,175.5,33812400
2/26/2018,176.350006,179.389999,176.210007,178.970001,38162200
2/27/2018,179.100006,180.479996,178.160004,178.389999,38928100
2/28/2018,179.259995,180.619995,178.050003,178.119995,37782100
3/1/2018,178.539993,179.779999,172.660004,175,48802000
3/2/2018,172.800003,176.300003,172.449997,176.210007,38454000
3/5/2018,175.210007,177.740005,174.520004,176.820007,28401400
3/6/2018,177.910004,178.25,176.130005,176.669998,23788500
3/7/2018,174.940002,175.850006,174.270004,175.029999,31703500
3/8/2018,175.479996,177.119995,175.070007,176.940002,23774100
3/9/2018,177.960007,180,177.389999,179.979996,32185200
3/12/2018,180.289993,182.389999,180.210007,181.720001,32207100
3/13/2018,182.589996,183.5,179.240005,179.970001,31693500
3/14/2018,180.320007,180.520004,177.809998,178.440002,29368400
3/15/2018,178.5,180.240005,178.070007,178.649994,22743800
3/16/2018,178.649994,179.119995,177.619995,178.020004,39404700
3/19/2018,177.320007,177.470001,173.660004,175.300003,33446800
3/20/2018,175.240005,176.800003,174.940002,175.240005,19649400
3/21/2018,175.039993,175.089996,171.259995,171.270004,37054900
3/22/2018,170,172.679993,168.600006,168.850006,41490800
3/23/2018,168.389999,169.919998,164.940002,164.940002,41028800
3/26/2018,168.070007,173.100006,166.440002,172.770004,37541200
3/27/2018,173.679993,175.149994,166.919998,168.339996,40922600
3/28/2018,167.25,170.020004,165.190002,166.479996,41668500
3/29/2018,167.809998,171.75,166.899994,167.779999,38398500
4/2/2018,166.639999,168.940002,164.470001,166.679993,37586800
4/3/2018,167.639999,168.75,164.880005,168.389999,30278000
4/4/2018,164.880005,172.009995,164.770004,171.610001,34605500
4/5/2018,172.580002,174.229996,172.080002,172.800003,26933200
4/6/2018,170.970001,172.479996,168.199997,168.380005,35005300
4/9/2018,169.880005,173.089996,169.850006,170.050003,29017700
4/10/2018,173,174,171.529999,173.25,28408600
4/11/2018,172.229996,173.919998,171.699997,172.440002,22431600
4/12/2018,173.410004,175,173.039993,174.139999,22889300
4/13/2018,174.779999,175.839996,173.850006,174.729996,25124300
4/16/2018,175.029999,176.190002,174.830002,175.820007,21578400
4/17/2018,176.490005,178.940002,176.410004,178.240005,26605400
4/18/2018,177.809998,178.820007,176.880005,177.839996,20754500
4/19/2018,173.759995,175.389999,172.660004,172.800003,34808800
4/20/2018,170.600006,171.220001,165.429993,165.720001,65491100
4/23/2018,166.830002,166.919998,164.089996,165.240005,36515500
4/24/2018,165.669998,166.330002,161.220001,162.940002,33692000
4/25/2018,162.619995,165.419998,162.410004,163.649994,28382100
4/26/2018,164.119995,165.729996,163.369995,164.220001,27963000
4/27/2018,164,164.330002,160.630005,162.320007,35655800
4/30/2018,162.130005,167.259995,161.839996,165.259995,42427400
5/1/2018,166.410004,169.199997,165.270004,169.100006,53569400
5/2/2018,175.229996,177.75,173.800003,176.570007,66539400
5/3/2018,175.880005,177.5,174.440002,176.889999,34068200
5/4/2018,178.25,184.25,178.169998,183.830002,56201300
5/7/2018,185.179993,187.669998,184.75,185.160004,42451400
5/8/2018,184.990005,186.220001,183.669998,186.050003,28402800
5/9/2018,186.550003,187.399994,185.220001,187.360001,23211200
5/10/2018,187.740005,190.369995,187.649994,190.039993,27989300
5/11/2018,189.490005,190.059998,187.449997,188.589996,26212200
5/14/2018,189.009995,189.529999,187.860001,188.149994,20778800
5/15/2018,186.779999,187.070007,185.100006,186.440002,23695200
5/16/2018,186.070007,188.460007,186,188.179993,19183100
5/17/2018,188,188.910004,186.360001,186.990005,17294000
5/18/2018,187.190002,187.809998,186.130005,186.309998,18297700
5/21/2018,188,189.270004,186.910004,187.630005,18400800
5/22/2018,188.380005,188.880005,186.779999,187.160004,15240700
5/23/2018,186.350006,188.5,185.759995,188.360001,19467900
5/24/2018,188.770004,188.839996,186.210007,188.149994,20401000
5/25/2018,188.229996,189.649994,187.649994,188.580002,17461000
5/29/2018,187.600006,188.75,186.869995,187.899994,22369000
5/30/2018,187.720001,188,186.779999,187.5,18690500
5/31/2018,187.220001,188.229996,186.139999,186.869995,27482800
6/1/2018,187.990005,190.259995,187.75,190.240005,23250400
6/4/2018,191.639999,193.419998,191.350006,191.830002,26132000
6/5/2018,193.070007,193.940002,192.360001,193.309998,21566000
6/6/2018,193.630005,194.080002,191.919998,193.979996,20933600
6/7/2018,194.139999,194.199997,192.339996,193.460007,21222500
6/8/2018,191.169998,191.660004,189.770004,191.625,19949443
